phrase,intent,parameters
Открой окно водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Пожалуйста, закройте заднее окно",window_set,"{""action"": ""close"", ""window"": ""rear""}"
Приоткрой стекло у пассажира,window_set,"{""action"": ""open"", ""window"": ""passenger""}"
Закрой все окна полностью,window_set,"{""action"": ""close"", ""window"": ""all""}"
Включи кондиционер на 20 градусов,ac_set,"{""state"": ""on"", ""temperature"": 20}"
Выключи климат-контроль,ac_off,
Поставь обдув на авто,ac_mode_set,"{""enabled"": true}"
Увеличь скорость вентилятора до 75,ac_fan_set,"{""level"": 75, ""speed"": ""medium""}"
Включи обогрев сиденья водителя на максимум,seat_heater_set,"{""seat"": ""driver"", ""level"": 100}"
Поставь обогрев сиденья пассажира на 50%,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Включи вентиляцию сиденья пассажира на 30,seat_vent_set,"{""seat"": ""passenger"", ""level"": 30}"
Запусти навигацию до Красной площади,nav_start,"{""destination"": ""Красная площадь""}"
Как мне доехать до ближайшей АЗС?,nav_start,"{""destination"": ""ближайшая АЗС""}"
Отмени маршрут,nav_cancel,
Позвони Алексею,call_start,"{""contact"": ""Алексей""}"
Перезвони мне на номер 123456789,call_start,"{""contact"": ""123456789""}"
Ответь на звонок,call_answer,
Завершите текущий вызов,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Установи дворники на авто,wipers_set,"{""speed"": ""auto""}"
Сделай громче на пять,volume_change,"{""delta"": 5}"
Уменьши громкость на 10 процентов,volume_change,"{""delta"": -10}"
Поставь громкость на 70,volume_set,"{""level"": 70}"
Включи радио на частоте 92.5,radio_set,"{""frequency"": ""92.5""}"
Переключи на следующий трек,next_track,
Поставь трек на паузу,media_pause,
"Привет, как дела?",chitchat,
Какой сегодня день?,chitchat,
"Сделай громче, пожалуйста",volume_change,"{""direction"": ""up""}"
Включи шифрование музыки,media_shuffle_set,{}
"Пожалуйста, выключи кондиционер",ac_off,
Настрой радио на частоту 105.5,radio_set,"{""frequency"": ""105.5""}"
Сделай немного потише,volume_change,"{""direction"": ""down""}"
Открой окно у водителя на двадцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 20}"
"Закрой все окна, пожалуйста",window_set,"{""action"": ""close"", ""window"": ""all""}"
Приоткрой пассажирское стекло на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""passenger"", ""percent"": 30}"
Сделай потише на десять,volume_change,"{""delta"": -10}"
Увеличь громкость на 15,volume_change,"{""delta"": 15}"
Поставь уровень громкости на 70 процентов,volume_set,"{""level"": 70}"
Включи кондиционер на 24 градуса,ac_set,"{""state"": ""on"", ""temperature"": 24}"
Выключи климат-контроль,ac_off,
Установи обдув на авто,ac_mode_set,"{""enabled"": true}"
Включи обогрев сиденья пассажира на 50,seat_heater_set,"{""seat"": ""passenger"", ""level"": 50}"
Как проехать до Кремля?,nav_start,"{""destination"": ""Кремль""}"
Отмени навигацию,nav_cancel,
Позвони Васе,call_start,"{""contact"": ""Василий""}"
Ответь на звонок,call_answer,
Закрой люк,sunroof_close,
Включи фары,headlights_set,"{""state"": ""on""}"
Установи уровень дворников на авто,wipers_set,"{""speed"": ""auto""}"
Включи музыку,play_music,
Поставь радио на частоту 98.5,radio_set,"{""frequency"": ""98.5""}"
Как дела?,chitchat,
Сделай потише на пятьдесят процентов,volume_change,"{""delta"": -50}"
Включи рециркуляцию,ac_mode_set,"{""enabled"": true}"
Выключи обогрев сиденья водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Переключи на следующий трек,next_track,
Сделай громче на 20,volume_change,"{""delta"": 20}"
Установи температуру на 18 градусов,ac_set,"{""state"": ""on"", ""temperature"": 18}"
Включи дворники на высокой скорости,wipers_set,"{""speed"": ""high""}"
Поставь музыку на паузу,media_pause,
Включи звук на полную,volume_mute_set,"{""state"": ""off""}"
Выключи кондиционер,ac_off,
Сделай обдув на среднем уровне,ac_fan_set,"{""level"": 50, ""speed"": ""medium""}"
Открой окно у водителя на тридцать процентов,window_set,"{""action"": ""set"", ""window"": ""driver"", ""percent"": 30}"
"Пожалуйста, закрой окно пассажира",window_set,"{""action"": ""close"", ""window"": ""passenger""}"
Приоткрой окошко на заднем сиденье,window_set,"{""action"": ""set"", ""window"": ""all"", ""percent"": 10}"
"Мне жарко, открой все окна",window_set,"{""action"": ""open"", ""window"": ""all""}"
Закрой все окна полностью,window_set,"{""action"": ""close"", ""window"": ""all""}"
Включи кондиционер на 21 градус,ac_set,"{""state"": ""on"", ""temperature"": 21}"
Выключи кондиционер,ac_off,
Установи кондиционер на 16 градусов,ac_set,"{""state"": ""on"", ""temperature"": 16}"
Включи рециркуляцию воздуха,ac_mode_set,"{""enabled"": true}"
Выключи рециркуляцию,ac_mode_set,"{""enabled"": false}"
Сделай громче на 10,volume_change,"{""delta"": 10}"
Понизь громкость на 5 процентов,volume_change,"{""delta"": -5}"
Уменьши звук,volume_change,"{""direction"": ""down""}"
Поставь громкость на 50 процентов,volume_set,"{""level"": 50}"
Сделай звук тише на двадцать,volume_change,"{""delta"": -20}"
Включи радио на частоте 99.5,radio_set,"{""frequency"": ""99.5""}"
Переключи на следующую песню,next_track,
Останови музыку,stop_music,
Переключи на AUX,media_source_set,"{""source"": ""aux""}"
Как добраться до Красной площади?,nav_start,"{""destination"": ""Красная площадь""}"
Отмени навигацию,nav_cancel,
Позвони Анне,call_start,"{""contact"": ""Анна""}"
Ответь на звонок,call_answer,
Заканчивай звонок,call_hangup,
Включи фары,headlights_set,"{""state"": ""on""}"
Выключи дальний свет,high_beam_set,"{""state"": ""off""}"
Включи обогрев стеклоочистителей на максимуме,wipers_set,"{""speed"": ""high""}"
Установи обогрев сиденья на 80 процентов,seat_heater_set,"{""seat"": ""driver"", ""level"": 80}"
Включи обогрев сиденья пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 100}"
Выключи обогрев сидений,seat_heater_set,"{""seat"": ""driver"", ""level"": 0}"
Включи стеклоочистители в авто режиме,rain_set,"{""mode"": ""auto""}"
