phrase,intent,parameters
включи кондиционер,ac_set,
выстави температуру 22 градуса,ac_set,"{""temperature"": 22}"
охлади климат до 22 градусов,ac_set,"{""temperature"": 22}"
включи кондиционер на максимум,ac_set,"{""mode"": ""max""}"
выключи кондиционер,ac_off,
подними правое окно,window_set,
опусти левое окно,window_set,
открой лобовое стекло,window_set,
закрой заднее стекло,window_set,
направь обдув на лицо,ac_mode_set,
поставь обдув на ноги,ac_mode_set,
установи скорость вентилятора на средний,ac_fan_set,"{""level"": 2}"
поставь скорость вентилятора на максимум,ac_fan_set,"{""level"": 5}"
"охлади салон, жара за окном",ac_set,
разморозь лобовое стекло,defrost_set,
разморозь стекло сейчас,defrost_set,
включи дворники на автомате,wipers_set,
включи дворники по дождю,rain_set,
регулируй обдув на лобовое стекло,ac_mode_set,
включи музыку,play_music,
переключи следующий трек,next_track,
переключи предыдущий трек,previous_track,
поставь паузу музыке,media_pause,
останови музыку,stop_music,
выбери источник Bluetooth,media_source_set,"{""source"": ""bluetooth""}"
выбери источник USB,media_source_set,"{""source"": ""usb""}"
переключи радиостанцию на 101.1,radio_set_station,"{""station"": ""101.1""}"
установи радиостанцию 94.7,radio_set_station,"{""station"": ""94.7""}"
выбери радиостанцию 87.5,radio_set_station,"{""station"": ""87.5""}"
проведи маршрут к аэропорту,nav_start,"{""destination"": ""аэропорт""}"
проложи маршрут к дому,nav_start,"{""destination"": ""дом""}"
начни навигацию к центру города,nav_start,"{""destination"": ""центр города""}"
отмени навигацию,nav_cancel,
позвони маме,call_start,"{""contact"": ""мама""}"
ответь на звонок,call_answer,
заверши звонок,call_hangup,
включи ближний свет,headlights_set,"{""state"": ""on""}"
включи дальний свет,high_beam_set,"{""state"": ""on""}"
включи датчик дождя,rain_set,
как дорога сегодня,chitchat,
"скажи, какая дорога сейчас",chitchat,
расскажи дорогу через серпантин,chitchat,
проложи маршрут через серпантин,nav_start,"{""destination"": ""серпантин""}"
позвони другу,call_start,"{""contact"": ""друг""}"
ответь на пропущенный звонок,call_answer,
переключи на радиостанцию 102.3,radio_set_station,"{""station"": ""102.3""}"
поставь громкость на 50,volume_set,"{""level"": 50}"
убавь громкость на 30,volume_change,"{""delta"": -30}"
включи автообогрев сидений,seat_heater_set,"{""level"": 1}"
погрей сиденье водителя,seat_heater_set,"{""seat"": ""driver"", ""level"": 2}"
погрей сиденье пассажира,seat_heater_set,"{""seat"": ""passenger"", ""level"": 2}"
